"Country Name","Country Code","Indicator Name","Indicator Code","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Caribbean small states","CSS","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","77.7721329525059","78.9786367927846","80.1411010053749","81.2670260815651","82.3634007588132","83.4310642009873","84.4651074549334","85.4631120344005","86.4308198171265","87.3782507212724","88.3084658290374","89.215367379368","90.090056385738","90.9291098090575","91.7412701799483","","","",
"Caribbean small states","CSS","Access to electricity (% of population)","EG.ELC.ACCS.ZS","76.2388611353229","79.2019201445733","80.0810476170439","81.0907827243053","81.7927038286986","82.6356547870621","85.4222349785145","84.2855521294899","85.0559251327768","86.1967729486015","87.1708688815689","88.8065130052352","88.7707132437845","89.3154638303821","90.0145266308527","90.6095105178333","91.4274143976001","92.1377693001144","93.0091478718944","93.2725578057459","94.2567774923434","93.5696097234588","95.4466750425315","95.9866211910923","96.8275326397857","","","",
"Caribbean small states","CSS","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","72.3565435643019","75.9476626903873","76.8989026166452","77.8212758132772","78.7592545861578","79.6725570177376","82.4718893634214","81.4582831654879","82.3262882514328","84.5733240039407","84.8230865913167","86.631507675373","86.8071899372424","87.1838808798422","87.9865049556643","89.1561668148865","89.6312018618289","90.4834139700432","89.2763556229113","91.563647512936","93.1022145239726","93.9820624146566","94.8596297737541","95.6701137367377","96.7349114336426","","","",
"Caribbean small states","CSS","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","91.3644292641567","91.9404827159947","92.0711255463576","93.0745180839392","92.3299000443214","92.4567424252017","91.6823618409987","94.3363052260588","92.3578888743753","92.6733014194224","92.7929415207831","93.2704766913936","92.8647140992458","94.215805281723","94.652250911801","98.7944887911437","95.3141343928741","95.5547320992738","92.6039168183493","95.7955940979186","96.0162153336944","96.6479696576524","","","",
"Caribbean small states","CSS","Account (% age 15+) [ts]","WP_time_10.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Caribbean small states","CSS","Account, female (% age 15+) [ts]","WP_time_10.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Caribbean small states","CSS","Account, income, poorest 40% (% ages 15+) [ts]","WP_time_10.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Caribbean small states","CSS","Account, income, richest 60% (% ages 15+) [ts]","WP_time_10.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Caribbean small states","CSS","Account, male (% age 15+) [ts]","WP_time_10.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Caribbean small states","CSS","Account, older adults (% ages 25+) [ts]","WP_time_10.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Caribbean small states","CSS","Account, primary education or less (% ages 15+) [ts]","WP_time_10.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Caribbean small states","CSS","Account, secondary education or more (% ages 15+) [ts]","WP_time_10.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Caribbean small states","CSS","Account, young adults (% ages 15-24) [ts]","WP_time_10.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Caribbean small states","CSS","Adjusted net savings, excluding particulate emission damage (% of GNI)","NY.ADJ.SVNX.GN.ZS","11.2415400022925","9.73421580324247","13.6701666402203","12.8308709092811","14.7947518320328","17.288119824679","17.1038006930776","12.4084837670063","","14.1548217195961","12.4302730608357","13.3663911635309","9.9615450659439","12.032018502282","12.642532323426","15.3076151402779","15.4060245141097","9.96194391293556","10.4274427586424","4.67302963259108","6.82167226723027","-0.698742743372879","","","","","","",
"Caribbean small states","CSS","Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","90.7047030459068","89.1104536486794","87.5390118082608","85.6919700369241","83.799093004038","81.8267134269199","79.7408542216669","77.5496668130183","75.5995818380598","73.6729417403522","71.8387012460422","70.147742078931","68.5788131018665","67.5769752333256","66.6458432453856","65.765821636813","64.924908506849","64.0912056230159","63.2497215790491","62.3723969150839","61.4183002127305","60.4177253292918","59.3361665185558","57.9704323549375","56.5614172451104","55.1245950304799","","",
"Caribbean small states","CSS","Adolescents out of school (% of lower secondary school age)","SE.SEC.UNER.LO.ZS","10.3547801971436","10.5038900375366","10.3181600570679","10.0867700576782","11.0637302398682","11.2623100280762","11.4514303207397","11.7082099914551","11.6981000900269","10.7170495986938","11.5760498046875","12.8748998641968","12.5731401443481","11.5385904312134","8.70343017578125","8.43920040130615","7.72619009017944","8.02544021606445","7.70718002319336","7.92496013641357","8.06482982635498","7.53077983856201","7.40887022018433","13.0277299880981","11.9569501876831","","","",
"Caribbean small states","CSS","Adolescents out of school, female (% of female lower secondary school age)","SE.SEC.UNER.LO.FE.ZS","9.09504985809326","9.22004985809326","8.97191047668457","8.81495952606201","9.77637958526611","10.034740447998","10.3061895370483","10.6771297454834","10.8187103271484","10.09494972229","10.8618097305298","12.7328596115112","11.7555704116821","10.6735897064209","8.13430976867676","7.75693988800049","7.1112699508667","7.48904991149902","7.26387977600098","7.64921998977661","7.77724981307983","6.97384977340698","7.11921977996826","11.627010345459","10.8624496459961","","","",
"Caribbean small states","CSS","Adolescents out of school, male (% of male lower secondary school age)","SE.SEC.UNER.LO.MA.ZS","11.5944204330444","11.7690801620483","11.6518201828003","11.3519802093506","12.3478698730469","12.4890203475952","12.5965204238892","12.7343502044678","12.5684604644775","11.3292798995972","12.275839805603","13.0137300491333","13.3682403564453","12.3787002563477","9.25745964050293","9.10665988922119","8.33090019226074","8.55309009552002","8.14163970947266","8.19394969940186","8.34451961517334","8.07207012176514","7.69006013870239","14.3864097595215","13.0186700820923","","","",
